"age","gender","height_cm","weight_kg","body.fat_.","diastolic","systolic","gripForce","sit.and.bend.forward_cm","sit.ups.counts","broad.jump_cm"
27,"1",172.3,75.24,1,1,1,54.9,18.4,60,217
25,"1",165,55.8,1,1,1,36.4,16.3,53,229
31,"1",179.6,78,1,1,2,44.8,12,49,181
32,"1",174.5,71.1,1,1,2,41.4,15.2,53,219
28,"1",173.8,67.7,1,0,1,43.5,27.1,45,217
36,"0",165.4,55.4,1,0,0,23.8,21,27,153
42,"0",164.5,63.7,2,1,1,22.7,0.8,18,146
33,"1",174.9,77.2,2,1,1,45.9,12.3,42,234
54,"1",166.8,67.5,1,1,2,40.4,18.6,34,148
28,"1",185,84.6,0,1,2,57.9,12.1,55,213
42,"1",169.2,65.4,1,0,0,43.5,16,68,211
57,"0",153,49,1,0,0,21.5,30,0,90
27,"0",156,53.9,2,0,0,23.1,13.1,28,144
22,"1",175.7,67.9,0,1,0,52.5,19.2,55,232
24,"1",181,84.4,1,1,0,48.9,7.2,54,213
45,"0",159,63.1,2,1,2,34.1,19,30,155
25,"0",164.2,66.6,2,1,0,25.7,22.9,39,178
26,"1",179.9,71.5,0,0,1,59.6,17.8,61,239
26,"1",169.2,70.6,1,0,1,41.3,15.1,53,225
21,"0",162.7,47.2,1,1,1,25.4,20.5,36,137
25,"0",161.7,63.36,2,1,1,25,10.7,39,160
59,"0",155.9,62.7,2,1,2,36.8,29.1,25,122
38,"1",166.7,67.3,1,0,0,26.1,19.7,62,215
44,"1",170,63.3,0,0,0,44.5,11.6,49,196
23,"0",164.1,59.4,1,1,1,24.6,27.5,32,169
62,"1",169,70.7,2,1,2,39.3,4,43,131
47,"0",158.3,53.5,1,0,0,25.9,8.1,32,151
48,"1",175.8,84.5,2,1,1,33.8,3.7,24,211
36,"1",176,81.3,1,1,1,46.2,8.1,54,232
50,"0",159.8,57.1,1,0,0,30.8,24.4,30,143
25,"1",170.9,70.7,1,1,1,36.4,26.4,38,246
26,"1",176.7,77.2,1,0,1,50,9.1,51,223
28,"0",159.5,51.54,1,1,1,37.2,23,37,145
30,"1",172.1,79.5,1,1,2,34.7,-2,40,192
49,"0",151.5,52,1,1,2,23.8,21.3,39,154
40,"1",177.6,88.6,1,1,1,51.5,12.1,54,224
21,"1",172.5,66.4,0,1,1,51.2,6.3,46,178
31,"1",177.5,79.5,1,1,2,51.2,18.4,62,208
32,"1",178,84.5,1,0,1,52.3,16.2,62,232
27,"1",177.6,79.7,1,0,0,48,1.8,59,219
42,"1",168,61,0,1,2,28.9,1,32,230
52,"1",173.6,84.9,2,1,2,42,9,43,185
39,"1",173.3,69.8,1,1,1,40,18.2,38,227
33,"0",159.6,60.5,2,0,0,21.9,22.2,24,129
25,"0",161.8,57.7,1,1,0,29.3,26.6,50,190
31,"1",169.9,73.1,1,1,2,45,14.5,37,249
34,"1",183.6,76.82,1,1,0,46.3,14.2,55,220
26,"1",172.1,66.1,1,0,0,19.9,-9.9,44,159
28,"1",180.1,82.1,0,1,2,52.6,18.8,55,247
58,"1",164.2,64,1,1,2,36.8,18.3,38,205
48,"1",169.8,75.4,0,1,2,51.4,24.7,55,246
23,"1",180.1,65.9,0,1,1,45.4,18.1,56,234
38,"0",157.2,51.7,1,0,0,25.1,14.7,19,139
43,"0",168.3,69.3,2,1,1,32.1,20.2,33,164
21,"0",159.5,51.3,2,1,1,16.6,2.1,5,105
56,"1",166.7,56.9,1,1,2,41.6,17.8,30,198
24,"1",164.4,66.2,1,0,0,40.2,16.2,43,232
58,"0",146.5,46.4,2,1,1,18.7,17.4,20,111
42,"1",174.1,103.1,2,1,1,50.7,3.6,25,153
45,"1",185.4,80,1,1,2,46.2,7.1,22,205
37,"1",168.9,78.8,1,1,2,42.1,20.9,47,241
31,"1",175.3,83.6,2,1,2,45.9,7.2,55,193
43,"0",164,50.8,1,1,1,24,13.5,28,160
23,"0",162.4,58.9,1,1,0,28.1,25.5,48,178
59,"0",165,63.7,2,1,0,20.8,25.5,30,120
63,"1",166.6,75.5,2,0,1,34.1,6.7,17,140
40,"1",174.2,77.6,1,1,1,49.5,12.1,48,213
27,"0",150.5,55.7,2,0,0,29.7,13.4,23,159
56,"0",160.2,62.4,2,0,0,28.8,20.7,15,133
35,"1",179,75,0,1,1,47.7,16.6,54,233
30,"1",172.7,78,1,1,2,36.9,3.4,25,218
56,"1",160.2,62.7,2,1,2,35.4,9.5,27,184
36,"1",171.5,80.5,1,1,2,46.7,16.8,53,220
60,"1",175.1,66.5,1,1,1,40.4,13.9,31,211
22,"1",172.2,70.6,1,0,0,36.7,9.8,50,213
22,"1",171.9,78.46,1,0,0,43.6,-9.3,46,219
37,"1",174,75.2,1,1,2,39.7,20.5,50,224
21,"0",158.1,53.6,1,0,0,18.9,12.4,17,116
21,"1",170.4,74.3,1,1,2,45.6,12.7,54,194
60,"0",158.6,62.7,2,1,1,29.3,18.4,12,132
27,"0",168.5,64.2,1,1,0,25.2,23.1,18,164
59,"0",156.3,60.5,2,1,1,29.6,22.4,23,135
47,"0",157,54.1,1,1,0,25.1,18.2,25,157
21,"0",161.3,50.6,1,0,1,27.5,29.4,39,175
51,"1",177,68.7,1,1,2,39.3,11.3,35,220
48,"1",171,66.2,1,1,2,48.8,16,49,225
49,"1",170,66.2,1,1,1,39.5,20,39,156
41,"0",158.1,51,1,1,1,23.1,28.6,46,165
24,"0",159,45.5,1,1,1,28.5,22.9,57,197
35,"1",178.4,79,1,1,1,52.7,14.7,68,260
26,"0",156.7,56.3,2,1,1,19.7,22.9,28,130
35,"1",178.5,78.4,0,1,1,51.5,17.1,64,237
25,"1",171.2,65.1,0,0,1,45.1,22.2,54,239
30,"1",176.4,71.7,1,0,1,53.4,24.3,56,210
27,"1",175.4,86.4,1,1,1,47.6,20.6,48,213
41,"1",166.7,65.7,1,1,2,49.6,18.7,54,242
50,"0",158.4,57.2,2,0,1,21.1,18.6,17,136
22,"1",175.8,72,2,1,0,34.6,19,54,188
56,"1",173,70.9,1,1,1,47.9,11.1,44,162
46,"0",159.1,52.2,1,1,1,22.9,17.9,30,136
44,"1",180.5,79.5,1,1,1,42.3,10.8,33,196
25,"0",162.2,71.5,2,1,1,24.9,7,5,120
25,"0",156.3,48.6,1,1,1,22.8,29.8,41,155
59,"1",170,59.1,0,1,0,28.3,8.6,15,162
30,"1",178.4,82.5,2,1,1,39.3,1.9,42,200
24,"1",176,67.2,0,1,0,47.7,17.2,55,242
39,"1",168.8,70.9,1,1,1,33.7,5.4,33,201
27,"1",170.3,74.6,1,1,2,47.9,14.5,53,170
33,"1",172.8,78.8,1,1,2,59.8,19.7,59,228
28,"0",163.6,52.4,1,1,0,31,23.5,23,130
28,"0",166.2,59.7,1,1,0,32.1,15.6,38,165
35,"1",179.2,64.7,0,1,1,49.7,22.5,46,239
34,"1",177.8,76.4,1,1,1,41.1,5.3,38,194
35,"1",184.7,84.18,1,0,0,48.8,15.3,56,229
34,"1",173.2,73.77,1,1,0,50,18.1,59,218
25,"1",164.3,61.18,1,1,2,43.3,18.6,47,209
32,"1",169.2,68.7,1,1,0,48.3,21.1,64,254
21,"0",169.1,56.1,1,1,0,26.3,31.3,24,162
22,"1",183.5,76.9,1,1,2,40.9,22.8,56,253
22,"0",156.9,46.9,1,1,2,20.5,16.5,38,155
24,"1",172.1,64.5,1,1,2,40.2,21.7,63,201
27,"1",178.2,75.1,1,0,1,49.2,16.7,55,229
21,"0",164.4,48.1,1,0,0,26.5,29.4,41,215
46,"0",164.1,49.1,2,0,0,21.2,4.3,16,150
29,"0",162.2,51.7,1,1,0,29.7,23.7,44,183
23,"0",162.7,51.7,1,1,0,32.6,21.4,59,200
51,"1",177.9,67.2,1,0,0,36.6,13.7,25,183
28,"1",184.8,84.6,1,1,1,52.5,11.7,56,257
23,"0",164.7,44.3,1,1,1,22.3,12.5,25,130
30,"1",178.3,93.5,1,1,1,57,16.1,47,222
25,"0",160.1,51.7,2,1,1,25.7,21.1,47,159
28,"1",172.7,69.8,1,1,2,46.5,10,48,185
22,"1",178.3,73.2,1,1,1,42.7,11.7,46,208
51,"1",167.7,72.7,1,1,2,36.3,6.1,37,180
24,"0",165.1,49.9,1,0,0,31.8,21.6,50,204
27,"0",160.3,47.8,1,0,0,27.3,28,37,173
61,"0",153.2,62.2,2,1,0,25.7,3,0,58
30,"1",169.5,71.9,1,1,1,45.9,13,66,235
42,"1",180.2,73.3,1,1,2,53.7,26,41,211
22,"1",180.3,91.7,2,1,1,28.6,-6.9,36,210
23,"0",164.7,62.5,2,1,1,23.2,14.7,41,165
27,"0",160.2,54.5,1,1,1,22.2,22.5,35,171
29,"1",167.9,70.7,1,1,1,47.3,16.2,53,181
62,"1",165.6,67.6,1,1,2,40.5,9.8,41,188
21,"1",169.2,92.9,2,1,2,44.6,10.9,52,226
25,"1",184.1,74.7,0,1,2,49.5,13,49,243
31,"0",166.9,64.1,2,1,1,27.5,21.5,37,150
21,"1",175,66.4,1,1,1,39.4,13,54,248
38,"1",171.6,66.3,1,1,2,46,26.2,46,204
23,"0",178.1,64.2,1,0,0,29.9,14.6,27,126
56,"1",170.1,61.5,1,1,2,37.7,20.5,40,195
59,"1",170.3,71,1,1,2,30.1,22,33,182
23,"0",164.4,54.3,1,0,0,27,31.7,44,186
52,"1",170,75.5,2,1,1,39.6,10.2,29,186
33,"1",178,74.66,1,1,1,43.1,18.6,37,198
58,"0",154.9,51.6,1,1,1,25.3,19.4,31,165
21,"0",160.9,61.4,2,1,0,27.3,20.8,47,169
27,"1",176,72.86,1,1,2,39.7,10.1,53,231
27,"1",173.5,65.3,0,1,1,39.1,12.1,46,229
21,"0",163,62.3,2,1,1,33.3,12.2,44,167
57,"1",168.5,66,1,1,2,42.1,9.5,30,212
29,"0",166.7,52.84,1,1,1,30.7,29.7,48,186
45,"1",170,70,1,1,1,34.2,8.5,36,219
24,"0",155.5,64.4,2,0,0,24.7,16.7,43,174
50,"0",163.9,52.5,1,1,2,25.4,18,26,171
60,"1",173,68.4,0,0,1,47.1,12.3,52,195
62,"1",163.7,63.9,1,1,2,42.7,25,29,211
39,"0",159.2,45.3,1,0,0,20.8,18.7,36,161
22,"0",162.2,60.4,1,1,0,34.9,22.6,37,148
